Delivery Status,Late_delivery_risk,Days for shipping (real),Days for shipment (scheduled),Shipping Mode,Order Region,Order Country,order date (DateOrders)
Late delivery,1,4,2,Second Class,Eastern Asia,China,11/5/2015 14:59
Late delivery,1,4,2,Second Class,Eastern Asia,China,11/5/2015 14:59
Shipping on time,0,2,2,Second Class,South Asia,India,1/11/2016 19:37
Late delivery,1,3,2,Second Class,Southeast Asia,Indonesia,12/23/2015 13:30
Late delivery,1,4,2,Second Class,Eastern Asia,China,12/29/2015 2:59
Late delivery,1,4,2,Second Class,Eastern Asia,China,2/25/2016 7:07
Late delivery,1,5,2,Second Class,South Asia,India,12/23/2015 5:27
Late delivery,1,6,2,Second Class,Oceania,Australia,12/23/2015 2:18
Late delivery,1,4,2,Second Class,Eastern Asia,China,2/25/2016 7:07
Shipping on time,0,2,2,Second Class,South Asia,India,1/11/2016 19:37
Late delivery,1,4,2,Second Class,Eastern Asia,China,11/5/2015 14:59
Late delivery,1,4,2,Second Class,Eastern Asia,China,11/5/2015 14:59
Late delivery,1,4,2,Second Class,Eastern Asia,China,12/29/2015 2:59
Late delivery,1,6,2,Second Class,Oceania,Australia,1/8/2016 17:41
Late delivery,1,3,2,Second Class,Oceania,Nueva Zelanda,3/30/2016 12:19
Late delivery,1,6,2,Second Class,Southeast Asia,Indonesia,11/22/2015 10:34
Late delivery,1,5,2,Second Class,Southeast Asia,Filipinas,3/1/2016 3:05
Late delivery,1,3,2,Second Class,Southeast Asia,Indonesia,12/23/2015 13:30
Late delivery,1,3,2,Second Class,Southeast Asia,Indonesia,12/23/2015 13:30
Late delivery,1,3,2,Second Class,Southeast Asia,Indonesia,12/23/2015 13:30
Shipping on time,0,2,2,Second Class,South Asia,India,1/11/2016 19:37
Shipping on time,0,2,2,Second Class,South Asia,India,1/11/2016 19:37
Late delivery,1,6,2,Second Class,Southeast Asia,Indonesia,11/20/2015 16:32
Late delivery,1,6,2,Second Class,West Asia,Turquía,10/26/2016 16:35
Late delivery,1,6,2,Second Class,Oceania,Australia,12/23/2015 2:18
Shipping on time,0,2,2,Second Class,Oceania,Australia,1/17/2018 15:15
Late delivery,1,3,2,Second Class,South Asia,Afganistán,1/21/2018 19:27
Late delivery,1,4,2,Second Class,Eastern Asia,Japón,11/25/2017 23:13
Late delivery,1,5,2,Second Class,South Asia,Bangladés,1/24/2018 16:28
Shipping on time,0,2,2,Second Class,Southeast Asia,Vietnam,1/18/2018 21:02
Shipping on time,0,2,2,Second Class,Oceania,Australia,1/24/2018 15:25
Late delivery,1,6,2,Second Class,Southeast Asia,Malasia,1/18/2018 20:41
Late delivery,1,5,2,Second Class,Southeast Asia,Indonesia,12/11/2017 2:10
Late delivery,1,5,2,Second Class,East of USA,Estados Unidos,7/31/2016 3:55
Late delivery,1,4,2,Second Class,East of USA,Estados Unidos,4/20/2016 23:41
Late delivery,1,4,2,Second Class,West of USA ,Estados Unidos,6/5/2016 21:31
Late delivery,1,6,2,Second Class,East of USA,Estados Unidos,4/11/2016 21:25
Late delivery,1,6,2,Second Class,East of USA,Estados Unidos,4/11/2016 21:25
Late delivery,1,6,2,Second Class,South of  USA ,Estados Unidos,7/31/2016 2:31
Late delivery,1,6,2,Second Class,East of USA,Estados Unidos,4/11/2016 21:25
Shipping on time,0,2,2,Second Class,East of USA,Estados Unidos,6/26/2016 16:03
Late delivery,1,6,2,Second Class,East of USA,Estados Unidos,4/11/2016 21:25
Late delivery,1,6,2,Second Class,South of  USA ,Estados Unidos,5/27/2016 6:59
Late delivery,1,6,2,Second Class,South of  USA ,Estados Unidos,5/30/2016 3:18
Late delivery,1,4,2,Second Class,West of USA ,Estados Unidos,6/7/2016 1:32
Late delivery,1,6,2,Second Class,South of  USA ,Estados Unidos,5/27/2016 6:59
Late delivery,1,4,2,Second Class,West of USA ,Estados Unidos,6/5/2016 21:31
Shipping on time,0,2,2,Second Class,East of USA,Estados Unidos,6/26/2016 16:03
Late delivery,1,6,2,Second Class,East of USA,Estados Unidos,4/11/2016 21:25
Late delivery,1,4,2,Second Class,West of USA ,Estados Unidos,6/5/2016 21:31
Late delivery,1,6,2,Second Class,East of USA,Estados Unidos,4/2/2016 4:26
Shipping on time,0,2,2,Second Class,US Center ,Estados Unidos,6/4/2016 13:17
Late delivery,1,5,2,Second Class,West of USA ,Estados Unidos,4/15/2016 19:39
Late delivery,1,5,2,Second Class,East of USA,Estados Unidos,8/18/2016 18:36
Late delivery,1,5,2,Second Class,East of USA,Estados Unidos,7/31/2016 3:55
Late delivery,1,4,2,Second Class,West of USA ,Estados Unidos,6/7/2016 1:32
Late delivery,1,6,2,Second Class,East of USA,Estados Unidos,4/2/2016 4:26
Shipping on time,0,2,2,Second Class,East of USA,Estados Unidos,6/26/2016 16:03
Shipping on time,0,2,2,Second Class,East Africa,Tanzania,9/6/2016 8:15
Late delivery,1,4,2,Second Class,Southern Africa,SudAfrica,9/27/2016 16:27
Late delivery,1,6,2,Second Class,Western Europe,Francia,7/21/2017 16:54
Late delivery,1,5,2,Second Class,Western Europe,Países Bajos,8/18/2017 6:42
Late delivery,1,4,2,Second Class,Eastern Europe,Polonia,11/17/2016 4:38
Late delivery,1,6,2,Second Class,Western Europe,Alemania,9/5/2015 15:14
Late delivery,1,3,2,Second Class,Southern Europe,Italia,9/7/2017 23:30
Late delivery,1,6,2,Second Class,Eastern Europe,Ucrania,11/11/2016 5:42
Late delivery,1,6,2,Second Class,Eastern Europe,Bielorrusia,10/17/2016 4:51
Late delivery,1,5,2,Second Class,Western Europe,Países Bajos,8/18/2017 6:42
Late delivery,1,6,2,Second Class,Western Europe,Francia,7/26/2015 6:01
Late delivery,1,5,2,Second Class,Caribbean,Cuba,3/6/2015 11:49
Late delivery,1,4,2,Second Class,Central America,Honduras,5/23/2017 13:19
Late delivery,1,3,2,Second Class,South America,Brasil,3/15/2017 8:20
Late delivery,1,6,2,Second Class,Central America,México,2/4/2015 12:12
Late delivery,1,6,2,Second Class,Central America,México,5/23/2017 10:30
Late delivery,1,6,2,Second Class,Central America,México,5/23/2017 10:30
Late delivery,1,4,2,Second Class,Caribbean,República Dominicana,4/15/2015 14:55
Late delivery,1,4,2,Second Class,Caribbean,República Dominicana,1/2/2015 22:14
Late delivery,1,6,2,Second Class,Central America,México,3/7/2015 0:26
Late delivery,1,5,2,Second Class,Central America,México,4/15/2017 7:45
Late delivery,1,5,2,Second Class,Central America,México,4/15/2017 7:45
Shipping on time,0,2,2,Second Class,South America,Brasil,3/7/2015 21:48
Late delivery,1,6,2,Second Class,South America,Venezuela,1/22/2015 10:39
Late delivery,1,3,2,Second Class,Southeast Asia,Filipinas,10/27/2015 22:10
Late delivery,1,6,2,Second Class,Southeast Asia,Indonesia,11/20/2015 16:32
Late delivery,1,4,2,Second Class,Eastern Asia,China,12/29/2015 2:59
Late delivery,1,5,2,Second Class,Eastern Asia,China,11/25/2015 18:48
Late delivery,1,4,2,Second Class,East of USA,Estados Unidos,4/20/2016 23:41
Late delivery,1,6,2,Second Class,Canada,Canada,1/13/2017 10:41
Late delivery,1,5,2,Second Class,US Center ,Estados Unidos,5/7/2016 6:40
Shipping on time,0,2,2,Second Class,Western Europe,Suiza,6/25/2015 11:08
Late delivery,1,3,2,Second Class,Western Europe,Alemania,6/25/2015 2:43
Late delivery,1,5,2,Second Class,Western Europe,Países Bajos,8/18/2017 6:42
Late delivery,1,5,2,Second Class,Western Europe,Alemania,7/11/2015 13:34
Late delivery,1,5,2,Second Class,Western Europe,Alemania,7/11/2015 13:34
Shipping on time,0,2,2,Second Class,Southern Europe,España,9/8/2017 4:24
Late delivery,1,6,2,Second Class,Eastern Europe,Rusia,10/22/2016 5:44
Late delivery,1,5,2,Second Class,Western Europe,Alemania,7/11/2015 13:34
Late delivery,1,4,2,Second Class,Eastern Europe,Polonia,11/17/2016 4:38
Late delivery,1,6,2,Second Class,Western Europe,Francia,7/26/2015 6:01
Late delivery,1,6,2,Second Class,Western Europe,Francia,7/21/2017 16:54
Late delivery,1,6,2,Second Class,Northern Europe,Reino Unido,8/29/2015 1:03
Late delivery,1,6,2,Second Class,Southern Europe,España,8/10/2015 15:37
Late delivery,1,4,2,Second Class,Central America,Panamá,1/26/2015 3:17
Late delivery,1,4,2,Second Class,Central America,México,1/19/2017 18:23
Late delivery,1,6,2,Second Class,South America,Perú,1/28/2017 8:02
Late delivery,1,5,2,Second Class,Caribbean,Cuba,3/6/2015 11:49
Late delivery,1,4,2,Second Class,Central America,Honduras,5/23/2017 13:19
Late delivery,1,6,2,Second Class,South America,Venezuela,6/2/2017 19:15
Late delivery,1,5,2,Second Class,Central America,México,2/26/2017 17:38
Late delivery,1,3,2,Second Class,South America,Brasil,6/13/2017 16:58
Late delivery,1,6,2,Second Class,Oceania,Australia,1/8/2016 17:41
Late delivery,1,5,2,Second Class,South Asia,India,12/23/2015 5:27
Late delivery,1,4,2,Second Class,Eastern Asia,China,12/29/2015 2:59
Shipping on time,0,2,2,Second Class,Oceania,Australia,11/11/2015 10:25
Late delivery,1,6,2,Second Class,Southeast Asia,Indonesia,11/22/2015 10:34
Late delivery,1,4,2,Second Class,Southeast Asia,Singapur,2/25/2016 15:52
Shipping on time,0,2,2,Second Class,South Asia,India,1/11/2016 19:37
Shipping on time,0,2,2,Second Class,South Asia,India,2/26/2016 3:26
Late delivery,1,5,2,Second Class,Southeast Asia,Indonesia,2/11/2016 21:09
Late delivery,1,4,2,Second Class,Eastern Asia,China,2/25/2016 7:07
Late delivery,1,3,2,Second Class,Southeast Asia,Indonesia,12/23/2015 13:30
Late delivery,1,6,2,Second Class,East of USA,Estados Unidos,4/2/2016 4:26
Late delivery,1,4,2,Second Class,West of USA ,Estados Unidos,6/26/2016 2:44
Late delivery,1,4,2,Second Class,West of USA ,Estados Unidos,6/7/2016 1:32
Late delivery,1,4,2,Second Class,South of  USA ,Estados Unidos,7/25/2016 0:25
Late delivery,1,6,2,Second Class,South of  USA ,Estados Unidos,5/27/2016 6:59
Late delivery,1,6,2,Second Class,East of USA,Estados Unidos,4/2/2016 4:26
Shipping on time,0,2,2,Second Class,East Africa,Tanzania,9/6/2016 8:15
Late delivery,1,6,2,Second Class,North Africa,Sudán,11/6/2016 8:20
Shipping on time,0,2,2,Second Class,East Africa,Tanzania,9/6/2016 8:15
Late delivery,1,3,2,Second Class,North Africa,Marruecos,1/11/2017 6:50
Late delivery,1,6,2,Second Class,Northern Europe,Reino Unido,8/29/2015 1:03
Shipping on time,0,2,2,Second Class,Western Europe,Francia,9/5/2017 1:05
Late delivery,1,3,2,Second Class,Western Europe,Francia,8/28/2015 20:30
Late delivery,1,5,2,Second Class,Western Europe,Países Bajos,8/18/2017 6:42
Late delivery,1,6,2,Second Class,Eastern Europe,Ucrania,11/11/2016 5:42
Late delivery,1,6,2,Second Class,Eastern Europe,Ucrania,11/11/2016 5:42
Shipping on time,0,2,2,Second Class,Western Europe,Suiza,6/25/2015 11:08
Shipping on time,0,2,2,Second Class,Southern Europe,España,9/8/2017 4:24
Late delivery,1,6,2,Second Class,Western Europe,Francia,9/11/2015 4:22
Shipping on time,0,2,2,Second Class,Northern Europe,Noruega,10/7/2015 23:36
Late delivery,1,6,2,Second Class,Western Europe,Francia,9/11/2015 4:22
Shipping on time,0,2,2,Second Class,Southern Europe,España,7/15/2015 2:21
Shipping on time,0,2,2,Second Class,South America,Brasil,3/7/2015 21:48
Late delivery,1,6,2,Second Class,Caribbean,República Dominicana,1/21/2017 14:53
Late delivery,1,3,2,Second Class,Central America,Nicaragua,4/2/2015 20:01
Late delivery,1,3,2,Second Class,Caribbean,Cuba,4/5/2017 19:20
Late delivery,1,4,2,Second Class,South America,Brasil,5/29/2015 9:57
Late delivery,1,6,2,Second Class,Central America,México,5/23/2017 10:30
Late delivery,1,4,2,Second Class,Caribbean,República Dominicana,1/2/2015 22:14
Late delivery,1,6,2,Second Class,Caribbean,República Dominicana,2/23/2015 6:24
Late delivery,1,4,2,Second Class,Central America,Guatemala,2/17/2017 3:48
Late delivery,1,3,2,Second Class,Central America,Nicaragua,4/2/2015 20:01
Late delivery,1,5,2,Second Class,South America,Argentina,4/6/2015 17:33
Late delivery,1,5,2,Second Class,South America,Argentina,4/6/2015 17:33
Late delivery,1,4,2,Second Class,Caribbean,Haití,4/2/2017 2:21
Late delivery,1,5,2,Second Class,Central America,México,2/4/2017 0:51
Late delivery,1,6,2,Second Class,Caribbean,República Dominicana,1/21/2017 14:53
Shipping on time,0,2,2,Second Class,Central America,México,4/26/2015 12:58
Late delivery,1,4,2,Second Class,Central America,México,1/19/2017 18:23
Late delivery,1,6,2,Second Class,Caribbean,República Dominicana,2/23/2015 6:24
Late delivery,1,5,2,Second Class,Central America,El Salvador,3/29/2015 13:22
Late delivery,1,5,2,Second Class,Central America,El Salvador,3/29/2015 13:22
Late delivery,1,3,2,Second Class,South America,Brasil,6/13/2017 16:58
Late delivery,1,3,2,Second Class,Oceania,Nueva Zelanda,3/30/2016 12:19
Shipping on time,0,2,2,Second Class,South Asia,India,2/26/2016 3:26
Shipping on time,0,2,2,Second Class,Oceania,Australia,11/11/2015 10:25
Late delivery,1,3,2,Second Class,Oceania,Nueva Zelanda,3/30/2016 12:19
Late delivery,1,4,2,Second Class,Southeast Asia,Singapur,2/25/2016 15:52
Shipping on time,0,2,2,Second Class,East of USA,Estados Unidos,6/26/2016 16:03
Late delivery,1,3,2,Second Class,West of USA ,Estados Unidos,5/5/2016 20:41
Late delivery,1,4,2,Second Class,South of  USA ,Estados Unidos,7/25/2016 0:25
Late delivery,1,4,2,Second Class,West of USA ,Estados Unidos,6/5/2016 21:31
Shipping on time,0,2,2,Second Class,East of USA,Estados Unidos,8/24/2016 8:26
Late delivery,1,6,2,Second Class,East Africa,Madagascar,10/8/2016 17:39
Late delivery,1,6,2,Second Class,Western Europe,Alemania,9/5/2015 15:14
Late delivery,1,6,2,Second Class,Eastern Europe,Hungría,10/12/2016 11:00
Late delivery,1,4,2,Second Class,Western Europe,Bélgica,6/30/2015 12:42
Late delivery,1,6,2,Second Class,Eastern Europe,Rusia,10/22/2016 5:44
Late delivery,1,6,2,Second Class,Western Europe,Francia,7/21/2017 16:54
Late delivery,1,6,2,Second Class,Western Europe,Alemania,9/5/2015 15:14
Late delivery,1,6,2,Second Class,Southern Europe,España,8/10/2015 15:37
Late delivery,1,6,2,Second Class,Eastern Europe,Bielorrusia,10/17/2016 4:51
Late delivery,1,4,2,Second Class,Western Europe,Alemania,9/24/2017 16:59
Late delivery,1,5,2,Second Class,Central America,Honduras,5/18/2017 23:18
Late delivery,1,6,2,Second Class,South America,Brasil,5/17/2015 23:37
Late delivery,1,5,2,Second Class,Central America,Honduras,5/18/2017 23:18
Shipping on time,0,2,2,Second Class,Central America,Nicaragua,3/25/2015 6:42
Late delivery,1,4,2,Second Class,Central America,Guatemala,2/17/2017 3:48
Late delivery,1,3,2,Second Class,Caribbean,Cuba,4/5/2017 19:20
Late delivery,1,4,2,Second Class,Caribbean,República Dominicana,1/2/2015 22:14
Late delivery,1,5,2,Second Class,Caribbean,Cuba,3/6/2015 11:49
Late delivery,1,6,2,Second Class,South America,Venezuela,1/22/2015 10:39
Late delivery,1,4,2,Second Class,Central America,Honduras,2/18/2015 20:36
Late delivery,1,5,2,Second Class,Central America,El Salvador,3/29/2015 13:22
Late delivery,1,5,2,Second Class,Central America,México,2/28/2015 17:26
Late delivery,1,6,2,Second Class,South America,Brasil,3/23/2017 6:34
Late delivery,1,6,2,Second Class,Central America,México,3/6/2015 8:40
Late delivery,1,4,2,Second Class,Caribbean,República Dominicana,4/15/2015 14:55
Shipping on time,0,2,2,Second Class,Oceania,Australia,11/11/2015 10:25
Late delivery,1,6,2,Second Class,Southeast Asia,Indonesia,11/22/2015 10:34
Shipping on time,0,2,2,Second Class,Oceania,Australia,11/11/2015 10:25
Late delivery,1,3,2,Second Class,Oceania,Nueva Zelanda,3/30/2016 12:19
Late delivery,1,5,2,Second Class,Eastern Asia,China,11/25/2015 18:48
Late delivery,1,5,2,Second Class,Southeast Asia,Filipinas,3/1/2016 3:05
Shipping on time,0,2,2,Second Class,South Asia,India,2/26/2016 3:26
Late delivery,1,6,2,Second Class,South Asia,Irán,12/19/2016 9:51
Late delivery,1,3,2,Second Class,Southeast Asia,Filipinas,10/27/2015 22:10
Shipping on time,0,2,2,Second Class,US Center ,Estados Unidos,6/4/2016 13:17
Late delivery,1,5,2,Second Class,West of USA ,Estados Unidos,8/13/2016 15:59
Late delivery,1,4,2,Second Class,US Center ,Estados Unidos,5/16/2016 21:32
Late delivery,1,6,4,Standard Class,North Africa,Egipto,1/16/2017 17:31
Advance shipping,0,3,4,Standard Class,Central Africa,República Democrática del Congo,12/29/2016 3:32
Late delivery,1,6,4,Standard Class,Central Africa,República Democrática del Congo,1/2/2017 20:41
Late delivery,1,6,4,Standard Class,Central Africa,República Democrática del Congo,9/10/2016 8:14
Late delivery,1,6,4,Standard Class,Central Africa,República Democrática del Congo,9/14/2016 3:20
Shipping on time,0,4,4,Standard Class,East Africa,Zimbabue,12/1/2016 20:44
Advance shipping,0,2,4,Standard Class,North Africa,Argelia,12/20/2016 3:43
Advance shipping,0,2,4,Standard Class,North Africa,Argelia,12/20/2016 3:43
Advance shipping,0,2,4,Standard Class,North Africa,Argelia,12/20/2016 3:43
Shipping on time,0,4,4,Standard Class,West Africa,Togo,9/18/2016 23:59
Shipping on time,0,4,4,Standard Class,North Africa,Marruecos,10/6/2016 15:54
Shipping on time,0,4,4,Standard Class,North Africa,Libia,12/27/2016 11:35
Late delivery,1,6,4,Standard Class,Southern Africa,SudAfrica,9/23/2016 6:17
Late delivery,1,6,4,Standard Class,Central Africa,República Democrática del Congo,11/25/2016 18:17
Shipping on time,0,4,4,Standard Class,North Africa,Marruecos,1/7/2017 10:21
Late delivery,1,6,4,Standard Class,Central Africa,República Democrática del Congo,11/25/2016 18:17
Advance shipping,0,2,4,Standard Class,East Africa,Kenia,9/29/2016 20:18
Shipping on time,0,4,4,Standard Class,North Africa,Marruecos,10/6/2016 15:54
Late delivery,1,6,4,Standard Class,North Africa,Egipto,1/16/2017 17:31
Late delivery,1,6,4,Standard Class,Southern Africa,SudAfrica,9/23/2016 6:17
Advance shipping,0,2,4,Standard Class,East Africa,Kenia,9/29/2016 20:18
Advance shipping,0,2,4,Standard Class,Southern Africa,SudAfrica,9/2/2016 23:40
Advance shipping,0,2,4,Standard Class,North Africa,Argelia,12/20/2016 3:43
Late delivery,1,6,4,Standard Class,Central Africa,República Democrática del Congo,9/14/2016 3:20
Advance shipping,0,2,4,Standard Class,North Africa,Marruecos,11/15/2016 6:24
Late delivery,1,6,4,Standard Class,Southern Africa,SudAfrica,9/28/2016 7:10
Late delivery,1,6,4,Standard Class,Southern Africa,SudAfrica,11/25/2016 21:48
Late delivery,1,6,4,Standard Class,Southern Africa,SudAfrica,9/23/2016 6:17
Advance shipping,0,2,4,Standard Class,Southern Europe,Italia,10/11/2017 11:11
Late delivery,1,6,4,Standard Class,Western Europe,Países Bajos,10/29/2017 16:46
Shipping on time,0,4,4,Standard Class,Western Europe,Países Bajos,10/29/2017 16:04
Late delivery,1,5,4,Standard Class,Western Europe,Alemania,10/13/2017 23:48
Advance shipping,0,2,4,Standard Class,Western Europe,Países Bajos,10/12/2017 9:57
Advance shipping,0,3,4,Standard Class,Western Europe,Francia,9/16/2017 1:56
Advance shipping,0,3,4,Standard Class,Western Europe,Francia,7/29/2017 18:18
Late delivery,1,5,4,Standard Class,Eastern Europe,Rusia,10/19/2016 14:19
Advance shipping,0,2,4,Standard Class,Western Europe,Países Bajos,10/1/2015 4:41
Advance shipping,0,2,4,Standard Class,Western Europe,Francia,6/1/2015 19:35
Shipping on time,0,4,4,Standard Class,Eastern Europe,Rumania,9/12/2016 17:21
Advance shipping,0,3,4,Standard Class,Southern Europe,España,7/30/2017 10:04
Shipping on time,0,4,4,Standard Class,Western Europe,Países Bajos,7/27/2015 18:06
Shipping on time,0,4,4,Standard Class,Western Europe,Francia,6/6/2015 14:08
Shipping on time,0,4,4,Standard Class,Western Europe,Francia,7/5/2017 21:50
Advance shipping,0,2,4,Standard Class,Western Europe,Francia,6/1/2015 19:35
Shipping on time,0,4,4,Standard Class,Western Europe,Francia,6/6/2015 14:08
Late delivery,1,5,4,Standard Class,Eastern Europe,Hungría,12/5/2016 0:25
Late delivery,1,6,4,Standard Class,Southern Europe,Italia,10/20/2017 3:17
Advance shipping,0,2,4,Standard Class,Southern Europe,Italia,7/2/2015 9:33
Advance shipping,0,2,4,Standard Class,Western Europe,Alemania,6/30/2017 20:16
Late delivery,1,5,4,Standard Class,Eastern Europe,Hungría,12/5/2016 0:25
Advance shipping,0,2,4,Standard Class,Western Europe,Alemania,10/21/2017 4:10
Late delivery,1,5,4,Standard Class,Western Europe,Francia,6/18/2015 8:31
Advance shipping,0,2,4,Standard Class,Southern Europe,España,9/13/2017 10:31
Advance shipping,0,3,4,Standard Class,Southern Europe,Italia,6/13/2015 5:12
Late delivery,1,6,4,Standard Class,Western Europe,Austria,10/25/2017 2:24
Shipping on time,0,4,4,Standard Class,Northern Europe,Suecia,9/22/2017 22:57
Advance shipping,0,3,4,Standard Class,Western Europe,Alemania,9/29/2015 0:29
Advance shipping,0,2,4,Standard Class,Western Europe,Alemania,6/8/2015 21:30
Late delivery,1,6,4,Standard Class,Western Europe,Alemania,7/28/2015 17:34
Late delivery,1,6,4,Standard Class,Western Europe,Francia,7/29/2017 21:06
Late delivery,1,6,4,Standard Class,Western Europe,Francia,9/10/2017 8:36
Advance shipping,0,3,4,Standard Class,Western Europe,Francia,7/29/2017 18:18
Late delivery,1,6,4,Standard Class,Western Europe,Francia,9/16/2017 4:44
Late delivery,1,6,4,Standard Class,Western Europe,Francia,9/10/2017 8:36
Late delivery,1,5,4,Standard Class,Western Europe,Alemania,6/30/2017 12:33
Shipping on time,0,4,4,Standard Class,Western Europe,Francia,10/20/2017 13:06
Late delivery,1,6,4,Standard Class,Western Europe,Austria,6/28/2017 8:21
Shipping on time,0,4,4,Standard Class,Northern Europe,Reino Unido,10/12/2015 14:40
Late delivery,1,5,4,Standard Class,Northern Europe,Reino Unido,7/4/2017 14:39
Advance shipping,0,2,4,Standard Class,Southern Europe,Italia,10/14/2015 13:15
Late delivery,1,5,4,Standard Class,Northern Europe,Reino Unido,7/31/2015 11:47
Late delivery,1,5,4,Standard Class,Southern Europe,Italia,6/9/2015 14:19
Advance shipping,0,2,4,Standard Class,Western Europe,Francia,9/13/2017 5:16
Late delivery,1,5,4,Standard Class,Southern Europe,Italia,6/9/2015 14:19
Late delivery,1,6,4,Standard Class,Western Europe,Alemania,7/28/2015 17:34
Advance shipping,0,3,4,Standard Class,Southern Europe,Italia,9/29/2015 21:31
Advance shipping,0,3,4,Standard Class,Southern Europe,Italia,6/2/2015 2:56
Shipping on time,0,4,4,Standard Class,Western Europe,Francia,7/5/2017 21:50
Late delivery,1,6,4,Standard Class,Northern Europe,Noruega,9/17/2017 22:47
Advance shipping,0,2,4,Standard Class,Southern Europe,España,11/7/2017 11:19
Shipping on time,0,4,4,Standard Class,Western Europe,Alemania,7/26/2015 21:04
Advance shipping,0,3,4,Standard Class,Western Europe,Francia,7/29/2017 18:18
Shipping on time,0,4,4,Standard Class,Western Europe,Francia,7/5/2017 21:50
Advance shipping,0,3,4,Standard Class,Western Europe,Países Bajos,8/14/2017 17:55
Late delivery,1,6,4,Standard Class,Northern Europe,Noruega,9/17/2017 22:47
Late delivery,1,5,4,Standard Class,Southern Europe,Portugal,9/26/2017 11:23
Late delivery,1,5,4,Standard Class,Northern Europe,Reino Unido,7/25/2015 19:09
Late delivery,1,5,4,Standard Class,Western Europe,Alemania,7/21/2015 18:48
Shipping on time,0,4,4,Standard Class,Northern Europe,Suecia,9/22/2017 22:57
Advance shipping,0,3,4,Standard Class,Southern Europe,Italia,9/29/2015 21:31
Shipping on time,0,4,4,Standard Class,Southern Europe,Italia,7/25/2015 13:33
Shipping on time,0,4,4,Standard Class,Southern Europe,España,9/13/2017 11:13
Late delivery,1,5,4,Standard Class,Northern Europe,Reino Unido,7/4/2017 14:39
Late delivery,1,6,4,Standard Class,Western Europe,Francia,9/16/2017 4:44
Advance shipping,0,3,4,Standard Class,Western Europe,Francia,9/16/2017 1:56
Late delivery,1,5,4,Standard Class,Western Europe,Francia,9/20/2017 13:30
Late delivery,1,6,4,Standard Class,Southern Europe,Italia,9/11/2015 13:08
Advance shipping,0,3,4,Standard Class,Western Europe,Francia,9/16/2017 1:56
Advance shipping,0,2,4,Standard Class,Western Europe,Países Bajos,10/1/2015 4:41
Shipping on time,0,4,4,Standard Class,Eastern Europe,Rusia,1/5/2017 7:33
Advance shipping,0,2,4,Standard Class,Western Europe,Países Bajos,10/1/2015 4:41
Late delivery,1,6,4,Standard Class,Western Europe,Alemania,9/14/2015 12:57
Late delivery,1,5,4,Standard Class,Western Europe,Francia,10/1/2015 2:14
Shipping on time,0,4,4,Standard Class,Western Europe,Francia,9/18/2015 14:21
Advance shipping,0,2,4,Standard Class,Southern Europe,Italia,7/2/2015 9:33
Late delivery,1,5,4,Standard Class,Western Europe,Alemania,6/30/2017 12:33
Late delivery,1,5,4,Standard Class,Eastern Europe,Hungría,12/5/2016 0:25
Late delivery,1,6,4,Standard Class,Southern Europe,España,10/20/2015 16:03
Advance shipping,0,2,4,Standard Class,Western Europe,Alemania,9/28/2015 20:38
Advance shipping,0,2,4,Standard Class,Northern Europe,Dinamarca,9/19/2017 22:26
Late delivery,1,6,4,Standard Class,Western Europe,Francia,9/20/2015 14:20
Shipping on time,0,4,4,Standard Class,Northern Europe,Reino Unido,6/18/2017 23:26
Advance shipping,0,2,4,Standard Class,Southern Europe,Italia,7/2/2015 9:33
Late delivery,1,5,4,Standard Class,Western Europe,Francia,6/18/2015 8:31
Late delivery,1,5,4,Standard Class,Western Europe,Francia,6/7/2015 6:15
Advance shipping,0,2,4,Standard Class,Western Europe,Francia,6/1/2015 19:35
Late delivery,1,5,4,Standard Class,Western Europe,Francia,6/18/2015 8:31
Late delivery,1,5,4,Standard Class,Northern Europe,Reino Unido,7/31/2015 11:47
Late delivery,1,5,4,Standard Class,Western Europe,Alemania,9/4/2017 15:37
Late delivery,1,5,4,Standard Class,Western Europe,Francia,6/7/2015 6:15
Late delivery,1,5,4,Standard Class,Western Europe,Francia,6/8/2015 1:31
Shipping on time,0,4,4,Standard Class,Eastern Europe,Polonia,12/23/2016 5:59
Advance shipping,0,2,4,Standard Class,Southern Europe,España,9/13/2017 10:31
Advance shipping,0,2,4,Standard Class,Southern Europe,España,9/13/2017 10:31
Advance shipping,0,2,4,Standard Class,Southern Europe,Italia,9/29/2015 14:09
Late delivery,1,6,4,Standard Class,Western Europe,Alemania,7/28/2015 17:34
Advance shipping,0,3,4,Standard Class,Southern Europe,Italia,9/29/2015 21:31
Advance shipping,0,3,4,Standard Class,Western Europe,Austria,9/17/2015 1:12
Shipping on time,0,4,4,Standard Class,Northern Europe,Reino Unido,10/23/2015 20:25
Advance shipping,0,3,4,Standard Class,Southern Europe,Italia,9/29/2015 21:31
Advance shipping,0,3,4,Standard Class,Western Europe,Alemania,7/6/2015 19:00
Late delivery,1,6,4,Standard Class,Western Europe,Austria,8/9/2015 4:35
Advance shipping,0,3,4,Standard Class,Western Europe,Francia,7/16/2015 15:29
Advance shipping,0,3,4,Standard Class,Northern Europe,Reino Unido,10/6/2017 1:55
Advance shipping,0,3,4,Standard Class,Western Europe,Alemania,10/3/2017 19:36
Shipping on time,0,4,4,Standard Class,Northern Europe,Reino Unido,10/8/2017 19:04
Late delivery,1,6,4,Standard Class,Western Europe,Alemania,11/8/2017 15:00
